Manufacture Name,Country,Type,Export Shipment Count,Location
Custom Food Ingredients Sdn Bhd,Malaysia,Milk Powder,185,"Lot 24, Lorong Perusahaan 2B, Kawasan Perusahaan Kulim, 09000 Kulim, Kedah, Malaysia"
Lacto Asia Pte Ltd,Singapore,Milk Powder,178,"8 Eu Tong Sen Street, #13-89 (Office 1), The Central, Singapore 059818"
Suncolette Pte Ltd,Singapore,Milk Powder,150,"#27-04 Hong Leong Building, Singapore"
Unifood International S Pte Ltd,Singapore,Milk Powder,144,Singapore
Olam International,Singapore,Milk Powder,143,"No. 7 Straits View, #20-01, Marina One, East Tower, Singapore 018936"
Fonterra Ingredients Ltd,Malaysia,Milk Powder,136,"109 Fanshawe Street, Private Bag 92032, 1010 Auckland, New Zealand"
Ammerland Asia Pacific Pte Ltd,Singapore,Milk Powder,135,"#03-101, German Centre, Singapore 609916"
Donone Asia Pacific Holding Pte Ltd,Singapore,Milk Powder,111,"1 Wallich Street, 18-01 Guoco Tower, Singapore 078881"
Fitson Sdn Bhd,Malaysia,Milk Powder,104,"37 Jalan Permas 9/12, Johor Bahru 81750, Malaysia"
Danone Asia Pacific Holdings Pte Ltd,Singapore,Milk Powder,94,"1 Wallich Street, 18-01 Guoco Tower, Singapore 078881"
Fonterra Brands Malaysia Sdn Bhd,Malaysia,Milk Powder,85,"1/1 Subang Hi-Tech Industrial Park, Batu Tiga, 40300 Shah Alam, Selangor Darul Ehsan, Malaysia"
S & P Industries Sdn Bhd,Malaysia,Milk Powder,84,"27-3 Jalan PJU 5/13, Dataran Sunway, Petaling Jaya 47810, Malaysia"
Pro Active Synergy Sdn Bhd,Malaysia,Milk Powder,58,"Kampung Telok Gong, 42000 Port Klang, Selangor, Malaysia"
Kerry Ingredients M Sdn Bhd,Malaysia,Milk Powder,57,"8 Jalan Hasil Dua, Tampoi, Johor Bahru 81200, Johor, Malaysia"
Gogoco Holding Sdn Bhd,Malaysia,Milk Powder,56,"26, Jalan Elektron U16/38A, Seksyen U16, Denai Alam, 40160 Selangor, Malaysia"
Flavo Blitz Sdn Bhd,Malaysia,Milk Powder,44,"No. 42A, Jalan IKS Simpang Empat, Taman IKS Simpang Empat, 14100 Simpang Ampat, Penang, Malaysia"
T T I Co Ltd,Vietnam,Dietary Supplement,208,"70 Str 2, An Lac A Ward, Binh Tan Dist, HCMC, Vietnam"
Binh Nguyen Xanh Import & Export Co Ltd,Vietnam,Dietary Supplement,58,"Chuc Ly Hamlet, Ngoc Hoa Commune, Chuong My District, Hanoi City, Vietnam"
Nam Long Co Ltd,Vietnam,Dietary Supplement,48,"Hamlet 3, Long An Commune, Long Thanh District, Dong Nai Province, Vietnam"
Alltech Vietnam,Vietnam,Dietary Supplement,44,"Long Bình, Thành Phố Biên Hòa, Dong Nai, Vietnam"
Branch of Nguyen Sinh Tea Co Ltd,Vietnam,Dietary Supplement,43,"Area 8, Xuan Loc Commune, Thanh Thuy District, Phu Tho Province, Vietnam"
Ssoe Phu Tho Tea Co Ltd,Vietnam,Dietary Supplement,40,"Dep Hamlet, Van Luong Commune, Tan Son District, Phu Tho Province, Vietnam"
Dong Tay Connections Co Ltd,Vietnam,Dietary Supplement,37,"185/59 Nun Huynh Lien, Ward 10, Tan Binh District, Ho Chi Minh City, Vietnam"
